x_axis,y_axis,z_axis
67,-1123,-2.46034174266532
63,-1173,-2.47786181813989
89,-1208,-2.66336072970473
27,-1295,-2.58897273771905
47,-1112,-1.47374037956093
43,-1400,-3.08513613340841
121,-1258,-2.33474161437823
97,-1300,-2.57766403411718
123,-1471,-3.58587054945076
61,-812,-0.573143093902778
55,-941,0.616027407047531
104,-1030,-1.71487115438465
145,-983,-1.75112233460297
52,-981,0.746871842640921
35,-1014,0.555391015599118
92,-1058,-2.24206711788985
67,-899,-0.521666336454213
19,-919,0.89159435368584
86,-548,-1.25883423884535
63,-636,-1.5706397208412
25,-506,-2.02792452056723
68,-569,-1.61256099474182
21,-642,-1.39507513355195
124,-450,-0.233781079353354
56,-608,-2.24205595238891
115,-631,-1.31726612948664
77,-653,-1.23405145911759
87,-133,-0.75547600896418
41,-113,-0.556651723787617
103,18,-1.86392117343211
18,66,-2.32723592809355
139,-186,-1.21621746910912
72,-201,-1.26407639418321
51,-241,-0.982433343722481
30,40,-2.07373732459305
74,-58,-1.46710604755993
134,350,-1.01812739333565
27,283,-0.340326352832825
48,299,-0.430016123728484
146,370,-0.530695008541861
128,148,0.073733248693354
88,348,-1.20245125274493
141,430,-0.281379550606964
150,213,0.166274447563644
95,204,0.0651698269895593
127,728,0.74861249082181
80,751,0.10576695096997
16,880,-0.994263845586994
24,804,0.427732246431046
34,628,0.0631437536986497
60,803,0.755129694692475
30,762,-0.0945372470303803
91,792,0.673636336700617
41,585,-0.373996318288682
14,1038,-0.678140575128821
79,1136,-0.650377297768589
59,913,-1.21231671818275
83,1102,-0.509214614908925
42,1009,-1.18562975591226
97,1015,-0.573782065712448
117,1265,-1.07992002166643
132,1039,-0.848113300405339
93,1066,-0.279495525535008
241,-1253,-2.79006899905792
164,-1154,-3.39444736386974
237,-1236,-2.78539782810524
248,-1434,-3.89031595906035
285,-1278,-2.90874993483851
265,-1299,-3.90880952441216
280,-1448,-2.28200699895023
214,-1323,-4.48977128322448
280,-1387,-2.47915251816814
234,-893,-1.73316586036393
257,-950,-1.55996564990977
243,-844,-0.915835550113081
246,-1085,-2.58450612424702
290,-799,0.374037770325126
223,-946,-1.70699843629165
221,-807,-1.88566040611915
186,-869,-1.57093835578768
284,-930,-0.688786017357457
243,-637,0.25266086471989
193,-301,-1.40961704773737
197,-372,-1.6272375958085
197,-597,0.260128269930938
195,-350,-2.09834391587558
187,-611,-0.0328091231646205
240,-309,-0.561041229567824
193,-498,0.0338783728918334
254,-665,-0.658013774649173
177,25,-0.00946527249413597
204,-200,-0.388036111696077
248,-44,-0.197919807358878
229,-29,-0.396676751682681
221,-66,-1.79778532881246
162,-239,-1.41678124561583
263,-90,-0.935252034326677
203,-234,-0.610595705224184
293,-49,1.69855290556458
160,409,-0.021356260016516
238,351,0.50498718787906
229,208,0.203927574811618
202,444,-0.143990075503392
193,393,0.644093864917524
264,317,1.26737492473082
179,242,0.267141744946148
200,200,0.264852094929426
177,167,-0.0700127859290607
290,519,2.14426712773501
241,774,0.0414409325642681
