x_axis,y_axis,z_axis
833,-75,-26.903
759,-69,-27.68
822,-114,-27.161
876,-78,-26.922
856,-49,-27.901
770,100,-27.437
876,86,-27.325
845,87,-27.429
799,77,-28.13
842,130,-27.518
821,83,-27.744
879,335,-27.437
761,376,-28.071
864,312,-28.585
845,314,-28.641
861,370,-28.614
869,247,-27.873
835,533,-28.773
774,551,-28.704
861,516,-28.715
764,564,-28.823
855,469,-27.94
769,593,-28.661
760,670,-29.6
767,782,-30.325
855,661,-28.825
776,762,-30.421
820,696,-30.227
763,729,-30.515
794,882,-28.919
791,976,-27.35
769,885,-29.174
881,828,-29.826
888,865,-29.119
885,983,-27.568
927,-802,-29.344
940,-981,-29.637
909,-935,-28.977
1008,-843,-30.701
1042,-864,-38.208
928,-820,-29.525
1013,-763,-32.328
930,-765,-29.317
914,-703,-29.263
1009,-782,-31.815
1033,-724,-35.792
969,-693,-29.285
1019,-422,-34.314
976,-408,-31.104
944,-556,-28.525
941,-535,-28.741
1040,-580,-38.493
954,-451,-30.096
918,-227,-28.821
1024,-343,-36.364
1048,-354,-42.477
960,-372,-31.019
945,-212,-29.667
1030,-300,-36.333
1046,-76,-36.824
1019,-61,-29.867
969,-101,-28.513
1048,-23,-35.792
934,-101,-27.85
925,-6,-27.504
1031,93,-32.689
1029,190,-33.888
911,165,-26.355
996,159,-28.484
958,198,-28.173
924,131,-27.14
1034,383,-36.248
921,383,-29.281
1022,289,-32.36
924,355,-28.671
941,353,-28.829
927,229,-27.48
1044,544,-40.575
1035,575,-37.746
934,475,-28.103
970,580,-29.692
984,423,-29.59
1043,465,-39.714
982,653,-30.905
911,707,-29.793
1014,763,-34.411
991,701,-31.227
914,791,-31.014
1023,733,-35.53
999,844,-31.98
933,843,-29.69
964,876,-29.632
1021,988,-33.546
1020,855,-33.618
925,873,-28.477
1198,-990,-54.522
1100,-921,-55.529
1156,-898,-57.87
1196,-802,-55.341
1137,-810,-56.868
1127,-931,-57.551
1083,-660,-51.187
1079,-638,-50.464
1062,-756,-44.597
1184,-668,-55.243
1081,-746,-49.508
1113,-693,-54.957
1191,-448,-55.299
1064,-551,-46.413
1130,-487,-58.1
1153,-471,-58.529
1168,-575,-57.125
1103,-548,-54.189
1069,-257,-47.094
1078,-230,-49.412
1198,-232,-53.83
1188,-248,-55.101
1178,-322,-55.219
1142,-328,-57.123
1145,-28,-53.408
1147,-156,-54.167
1178,-120,-52.531
1116,-170,-54.297
1164,-34,-53.112
1094,-191,-51.848
1199,192,-51.617
1104,112,-51.151
1091,63,-48.379
1144,173,-54.405
1087,41,-47.595
1111,148,-52.714
